Author,Title,Edition,Publisher,Imprint,Course,Section,Professor,Course Capacity,Actual Enrollment,ISBN
LONGINUS,ON GREAT WRITING,91,HACKETT,HACKETT,ENG 0191,02,"KEISER,JESS",15,0,9780872200807
LUNG-AMAM,TRESPASSERS?,17,INGRAM PUB,U OF CA PR,ENV 0011;UEP 0011,01;01,"HOLLANDER,JUSTIN;HOLLANDER,JUSTIN",20;20,0;0,9780520293908
LYNNE,EBK INDUSTRIAL ORGANIZATION: THEORY AND,5,AC YUZU,WILEY,EC 0170,01,"MENEGOTTO,DEBORAH",35,0,2813024190477
LYNNE,EBK INDUSTRIAL ORGANIZATION: THEORY AND,5,AC YUZU,WILEY,EC 0170,01,"MENEGOTTO,DEBORAH",35,0,2813036639933
LYS,EBK GETTING (MORE OF) WHAT YOU WANT,0,AC YUZU,B&N HACHET,CVS 0183;PJS 0131;UEP 0130,01;01;01,"BURDICK,ROBERT;BURDICK,ROBERT;BURDICK,ROBERT",0;33;33,0;0;0,2813032284663
MARCY,EBK EMOTIONALLY INTELLIGENT LEADERSHIP:,2,AC YUZU,CLIFFS NOT,EM 0054;EM 0054,CE;01,"SAWYER,ANNETTE;SAWYER,ANNETTE",20;20,0;0,2813026222299
MARSHAK,EARTH:PORTRAIT OF A PLANET-TEXT,6TH 19,NORTON,0,EOS 0001,01,"GARDULSKI,ANNE F",45,0,9780393617511
MARSHALL,NUMBER THEORY THROUGH INQUIRY,07,AM MATH,MATH ASSN,MATH 0063,01,"WALSH,GENEVIEVE",34,0,9780883857519
MAS-COLELL,MICROECONOMIC THEORY (CLOTH),95,OXF,OXF,EC 0203,01,"METCALF,GILBERT",38,0,9780195073409
MASH,"EBK CHILD PSYCHOPATHOLOGY, THIRD EDITIO",3,AC YUZU,THE GUILFO,CSHD 0191,01,"MODRY-MANDELL,KERRI",30,0,2813026359414
MASON,EBK GILGAMESH,0,AC YUZU,OPEN ROAD,ILVS 0132;JS 0132;REL 0132,01;01;01,"ROSENBERG,JOEL;ROSENBERG,JOEL;ROSENBERG,JOEL",18;18;18,0;0;0,2813027286290
MASON,GILGAMESH:VERSE NARRATIVE,03,HM,0,ILVS 0132;JS 0132;REL 0132,01;01;01,"ROSENBERG,JOEL;ROSENBERG,JOEL;ROSENBERG,JOEL",18;18;18,0;0;0,9780618275649
MATTHEW,EBK GLACIAL GEOLOGY - ICE SHEETS AND LA,2,AC YUZU,WILEY-BLAC,EOS 0115,01,"RIDGE,JOHN C",25,0,2813022730835
MAURIZIO,EBK CLASSICAL MYTHOLOGY IN CONTEXT,1,AC YUZU,OXFORD UNI,CLS 0075,01,"BEAULIEU,MARIE-CLAIR",50,0,2813025993190
MAYNARD,PRINCIPLES OF JAPANESE DISCOURSE,98,CAMB,CAMB,JPN 0021;JPN 0121,01;01,"YAGI;KOIZUMI,SHIORI",0;0,0;0,9780521599092
MAYUMI,TOBIRA,09,KINOKUNIYA,JAPAN TIME,JPN 0021;JPN 0121,01;01,"YAGI;KOIZUMI,SHIORI",0;0,0;0,9784874244470
MCQUADE,EBK THE WRITER'S PRESENCE,9,AC YUZU,BEDFORD/ST,ENG 0001;ENG 0001;ENG 0001;ENG 0001,12;20;39;47,"CRANO,RICKY D.;CRANO,RICKY D.;CLEMENTS,CHARLES A.;CALLOWAY,GRAEME L.",15;15;12;12,0;0;0;0,2813031610593
MCQUADE,WRITER'S PRESENCE,9TH 18,MAC HIGHER,BEDFORD BK,ENG 0001;ENG 0001;ENG 0001;ENG 0001,12;20;39;47,"CRANO,RICKY D.;CRANO,RICKY D.;CLEMENTS,CHARLES A.;CALLOWAY,GRAEME L.",15;15;12;12,0;0;0;0,9781319056605
MEADOWS,EBK THINKING IN SYSTEMS,1,AC YUZU,CHELSEA GR,ENV 0001;ENV 0135,01;01,"STEIN,NINIAN;STEIN,NINIAN",80;32,0;0,2813023507436
MEKHENNET,I WAS TOLD TO COME ALONE,18,MAC HIGHER,ST MARTIN,ENG 0007;FMS 0041,01;01,"MILLER,NEIL;MILLER,NEIL",12;12,0;0,9781250180575
MELITZ,EBK INTERNATIONAL ECONOMICS,11,AC YUZU,MICROSOFT,EC 0060;EC 0060,01;02,"SPOLAORE,ENRICO;BROWN,DRUSILLA",123;35,0;0,2813029277784
MELITZ,EBK INTERNATIONAL FINANCE,11,AC YUZU,MICROSOFT,EC 0162,02,"BETHUNE,BRIAN",35,0,2813029157017
MELITZ,EBK INTERNATIONAL FINANCE,11,AC YUZU,MICROSOFT,EC 0162,02,"BETHUNE,BRIAN",35,0,2813029277753
MENDELSON,EBK VENTURE DEALS: BE SMARTER THAN YOUR,3,AC YUZU,CLIFFS NOT,EC 0157,01,"MANOS,CHRISTOPHER",25,0,2813029716122
MERRIAM-WEBSTR,MERRIAM-WEBSTER'S SPANISH-ENGLISH DICT.,REV 14,MERRIAM,0,SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0003;SPN 0004;SPN 0004;SPN 0004;SPN 0004;SPN 0004;SPN 0004;SPN 0004;SPN 0004,A;B;C;D;E;F;G;H;J;K;L;M;N;O;A;B;C;D;E;F;G;H,"GONZALEZ PEDEMONTE,N;AKERS,JOANA;CASTRO,MARIA ISABEL;GONZALEZ PEDEMONTE,N;GONZALEZ PEDEMONTE,N;AKERS,JOANA;MALINOWSKA,MAGDALENA;CASTRO,MARIA ISABEL;CASTRO,MARIA ISABEL;FERNANDEZ-GARCIA,MAR;MEDEROS,RAYSA;STAFF;MEDEROS,RAYSA;STAFF;RISSE,KATHERINE;RISSE,KATHERINE;RISSE,KATHERINE;DE LAIRE MULGREW,ANN;LANZAS,EUGENIO;DE LAIRE MULGREW,ANN;LANZAS,EUGENIO;FERNANDEZ-GARCIA,MAR",16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9780877798248
MILTON,PARADISE LOST-W/UPDATED FURTHER RDGS.,03,PENG RAND,0,ENG 0191,02,"KEISER,JESS",15,0,9780140424393
MITCHELL,PROMENADES (LL) V2(CH7-13)W/ACCESS,3RD 18,VISTA HIGH,VISTA HIGH,FR 0002;FR 0002;FR 0002,A;B;C,"GILLETTE,MARIE;GILLETTE,MARIE;PONCET-MONTANGE,ANNE",16;16;16,0;0;0,9781680055023
