Author,Title,Edition,Publisher,Imprint,Course,Section,Professor,Course Capacity,Actual Enrollment,ISBN
ABULAFIA,CHRISTIAN JEWISH RELATIONS 1000-1300,11,TAYLOR,0,HIST 0096,75,"MARRONE,STEVEN P",12,0,9780582822962
ABULAFIA,EBK CHRISTIAN JEWISH RELATIONS 1000-130,1,AC YUZU,ROUTLEDGE,HIST 0096,75,"MARRONE,STEVEN P",12,0,2813024783815
ABULAFIA,EBK CHRISTIAN JEWISH RELATIONS 1000-130,1,AC YUZU,ROUTLEDGE,HIST 0096,75,"MARRONE,STEVEN P",12,0,2813026691903
AGRESTI,EBK STATISTICAL METHODS FOR THE SOCIAL,5,AC YUZU,MICROSOFT,PS 0103,01,"SCHILDKRAUT, DEBORAH",18,0,2813029008708
AGRESTI,EBK STATISTICAL METHODS FOR THE SOCIAL,5,AC YUZU,MICROSOFT,PS 0103,01,"SCHILDKRAUT, DEBORAH",18,0,2813029122664
AKRITAS,EBK PROBABILITY & STATISTICS WITH R FOR,1,AC YUZU,MICROSOFT,ES 0056,01,"SUH,HELEN",60,0,2813024155629
AKRITAS,EBK PROBABILITY & STATISTICS WITH R FOR,1,AC YUZU,MICROSOFT,ES 0056,01,"SUH,HELEN",60,0,2813025944642
ALBERT,EBK ASSISTIVE TECHNOLOGIES: PRINCIPLES,4,AC YUZU,MOSBY,ENP 0105;OTS 0105,01;01,"BUXTON,JENNIFER;BUXTON,JENNIFER",24;24,0;0,2813036475098
ALFARABI,POLITICAL WRITINGS:POLITICAL REGIME...,15,LONGLEAF,CORNELL,PS 0158,01,"MUFTI,MALIK",20,0,9780801453809
ALFARABI,POLITICAL WRITINGS:SELECTED APHORISMS..,01,LONGLEAF,CORNELL,PS 0158,01,"MUFTI,MALIK",20,0,9780801489136
ALKON,CULTIVATING FOOD JUSTICE,11,TRILITERAL,MIT PR,DLS 0214;NUTR 0285;UEP 0285,01;01;01,"AGYEMAN,JULIAN;AGYEMAN,JULIAN;AGYEMAN,JULIAN",0;10;20,0;0;0,9780262516327
ALKON,EBK CULTIVATING FOOD JUSTICE,0,AC YUZU,THE MIT PR,DLS 0214;NUTR 0285;UEP 0285,01;01;01,"AGYEMAN,JULIAN;AGYEMAN,JULIAN;AGYEMAN,JULIAN",0;10;20,0;0;0,2813027468870
ALLEN,CREATING WELCOMING SCHOOLS,07,TCP,0,CSHD 0165;CVS 0132;ED 0145,01;01;01,"MCWAYNE,CHRISTINE;MCWAYNE,CHRISTINE;MCWAYNE,CHRISTINE",20;0;20,0;0;0,9780807747896
ANGRIST,MASTERING 'METRICS,15,INGRAM PUB,PUP,EC 0144,01,"SETREN,ELIZABETH",20,0,9780691152844
ARMSTRONG,IN THE BEGINNING,96,PENG RAND,BALLANTINE,ILVS 0132;JS 0132;REL 0132,01;01;01,"ROSENBERG,JOEL;ROSENBERG,JOEL;ROSENBERG,JOEL",18;18;18,0;0;0,9780345406040
ATKINS,MOLECULAR QUANTUM MECHANICS,5TH 11,OXF,0,CHEM 0133,01,"SHULTZ,MARY JANE",30,0,9780199541423
AVERROES,"EBK AVERROES ON PLATO'S ""REPUBLIC""",1,AC YUZU,0,PS 0158,01,"MUFTI,MALIK",20,0,2813030578214
AVERROES,FAITH+REASON IN ISLAM,01,ONEWORLD P,0,PS 0158,01,"MUFTI,MALIK",20,0,9781851682638
BACKMAN,EBK THE WORLDS OF MEDIEVAL EUROPE,3,AC YUZU,OXFORD UNI,HIST 0055,13,"MARRONE,STEVEN P",30,0,2813025956393
BAKER,"EBK HOW TO PLAY BEBOP, VOLUME 2: FOR AL",1,AC YUZU,ALFRED MUS,MUS 0105,01,"SMITH,JOEL LARUE",12,0,2813027632295
BAKER,"HOW TO PLAY BEBOP,VOLUME 2",06,ALFRED,ALFRED,MUS 0105,01,"SMITH,JOEL LARUE",12,0,9780739014851
BAKER,"READ.IN WEST.CIV:OLD REGIME...,V.7",87,UCP,0,HIST 0159,82,"FOSTER,ELIZABETH",25,0,9780226069500
BALDWIN,GIOVANNI'S ROOM,13,PENG RAND,KNOPF,AMER 0053;ENG 0063,01;01,"JOHNSON,RONNA;JOHNSON,RONNA C",0;40,0;0,9780345806567
BALLANTYNE,BETWEEN COLONIALISM+DIASPORA,06,DUKE U PR,0,CST 0194;REL 0149,04;01,"HATCHER,BRIAN A.;HATCHER,BRIAN A.",0;15,0;0,9780822338246
BALZAC,COUSINE BETTE,07,MEP/SCHOEN,0,FR 0163,A,"NAGINSKI,ISABELLE H",20,0,9782070344956
BANERJEE,POOR ECONOMICS,12,HACHETTE B,PUB AFFAIR,EC 0035,01,"KINNAN,CYNTHIA",36,0,9781610390934
BANNO,GENKI II:INTEG.CRSE.ELEM.JAPANESE-W/CD,2ND 11,KINOKUNIYA,JAPAN TIME,JPN 0003;JPN 0003;JPN 0003,A;B;C,"KAGAWA,KIYOMI;KOIZUMI,SHIORI;KOIZUMI,KOIZUMI",0;0;0,0;0;0,9784789014434
BANNO,KANJI LOOK+LEARN,09,KINOKUNIYA,JAPAN TIME,JPN 0001;JPN 0001;JPN 0001;JPN 0001;JPN 0003;JPN 0003;JPN 0003,A;B;C;D;A;B;C,"KAGAWA,KIYOMI;KAGAWA,KIYOMI;YAGI,MIKI;YAGI,MIKI;KAGAWA,KIYOMI;KOIZUMI,SHIORI;KOIZUMI,KOIZUMI",0;0;0;0;0;0;0,0;0;0;0;0;0;0,9784789013499
BANNO,KANJI LOOK+LEARN-WORKBOOK,09,KINOKUNIYA,JAPAN TIME,JPN 0001;JPN 0001;JPN 0001;JPN 0001;JPN 0003;JPN 0003;JPN 0003,A;B;C;D;A;B;C,"KAGAWA,KIYOMI;KAGAWA,KIYOMI;YAGI,MIKI;YAGI,MIKI;KAGAWA,KIYOMI;KOIZUMI,SHIORI;KOIZUMI,KOIZUMI",0;0;0;0;0;0;0,0;0;0;0;0;0;0,9784789013505
BARBERY,L'ELEGANCE DU HERISSON,06,GALLIMARD,GALLIMARD,FR 0121,A,"PEARCE,TRACY E",16,0,9782070464326
BARNDT,EBK TANGLED ROUTES,2,AC YUZU,JASON ARON,ENV 0001,01,"STEIN,NINIAN",80,0,2813025322693
BARNDT,"TANGLED ROUTES:WOMEN,WORK,+GLOBAL...",2ND 08,RLPG,ROWMAN,ENV 0001,01,"STEIN,NINIAN",80,0,9780742555570
BARNET,SHORT GUIDE TO COLLEGE WRITING,5TH 13,PEARSON,PEARSON,ENG 0001;ENG 0001,27;33,"STIFFLER,RANDALL;STIFFLER,RANDALL",15;15,0;0,9780134053233
BATCHELOR,INTRO.TO FLUID DYNAMICS,00,CAMB,CAMB,ME 0293,VF,"ABEDIAN,BEHROUZ",20,0,9780521663960
BEACHY,ABSTRACT ALGEBRA,3RD 06,WAVELAND,WAVELAND,MATH 0145;MATH 0145,01;02,"TEIXIDOR I BIGAS,MON;RUANE,KIM",30;30,0;0,9781577664437
BEACHY,EBK ABSTRACT ALGEBRA,3,AC YUZU,WAVELAND P,MATH 0145;MATH 0145,01;02,"TEIXIDOR I BIGAS,MON;RUANE,KIM",30;30,0;0,2813024951160
BEACHY,EBK ABSTRACT ALGEBRA,3,AC YUZU,WAVELAND P,MATH 0145;MATH 0145,01;02,"TEIXIDOR I BIGAS,MON;RUANE,KIM",30;30,0;0,2813026914040
BEAR,DYNAMICS OF FLUIDS POROUS MEDIA,88,DOVER,0,CEE 0287;EOS 0287,01;01,"GARVEN,GRANT;GARVEN,GRANT",10;10,0;0,9780486656755
BEAR,EBK DYNAMICS OF FLUIDS IN POROUS MEDIA,0,AC YUZU,DOVER PUBL,CEE 0287;EOS 0287,01;01,"GARVEN,GRANT;GARVEN,GRANT",10;10,0;0,2813026143204
BECK,"EBK COGNITIVE BEHAVIOR THERAPY, SECOND",2,AC YUZU,THE GUILFO,PSY 0109,01,"MASCHER,JACKQUELYN",20,0,2813026408242
BEDIER,ROMAN TRISTAN ISEUT,09,GALLIMARD,0,FR 0031,C,"NAGINSKI,ISABELLE H",18,0,9782070398768
BEER,EBK VECTOR MECHANICS FOR ENGINEERS: DYN,11,AC YUZU,MCGRAW-HIL,ME 0037,02,"KACHANOV,MARK L",29,0,2813026050830
BEER,EBK VECTOR MECHANICS FOR ENGINEERS: DYN,11,AC YUZU,MCGRAW-HIL,ME 0037,02,"KACHANOV,MARK L",29,0,2813027253520
BEER,EBK VECTOR MECHANICS FOR ENGINEERS: DYN,12,AC YUZU,MCGRAW-HIL,ME 0037,01,"KACHANOV,MARK L",29,0,2813031495978
BEER,EBK VECTOR MECHANICS FOR ENGINEERS: DYN,12,AC YUZU,MCGRAW-HIL,ME 0037,01,"KACHANOV,MARK L",29,0,2813031481742
BEER,"VECTOR MECH...,DYNAMICS",11TH 16,OE MCG,MCG,ME 0037,02,"KACHANOV,MARK L",29,0,9780077687342
BEER,"VECTOR MECH...,DYNAMICS",12TH 19,RENT MCG,RENT MCG,ME 0037,01,"KACHANOV,MARK L",29,0,9781259977305
BENNETT,GLACIAL GEOLOGY:ICE SHEETS+LANDFORMS,2ND 09,WILEY,0,EOS 0115,01,"RIDGE,JOHN C",25,0,9780470516911
BERGMANN,EBK THE LOGIC BOOK,6,AC YUZU,MCGRAW-HIL,LING 0033;PHIL 0033,01;01,"RUSSINOFF,SUSAN;RUSSINOFF,SUSAN",0;75,0;0,2813025263804
BERGMANN,EBK THE LOGIC BOOK,6,AC YUZU,MCGRAW-HIL,LING 0033;PHIL 0033,01;01,"RUSSINOFF,SUSAN;RUSSINOFF,SUSAN",0;75,0;0,2813027252578
BERGMANN,LOGIC BOOK (LOOSELEAF),6TH 14,MCG,MCG,LING 0033;PHIL 0033,01;01,"RUSSINOFF,SUSAN;RUSSINOFF,SUSAN",0;75,0;0,9781259412899
BERLIN,JEWISH STUDY BIBLE,2ND 14,OXF,OXF,ILVS 0132;JS 0132;REL 0132,01;01;01,"ROSENBERG,JOEL;ROSENBERG,JOEL;ROSENBERG,JOEL",18;18;18,0;0;0,9780199978465
BESANKO,ECONOMICS OF STRATEGY (LOOSELEAF),7TH 16,WILEY,WILEY,EC 0175,01,"FORBES,SILKE",25,0,9781119042310
BIBLE,HARPERCOLLINS STUDY BIBLE-NRSV-REV.+UPD,REV 06,HARP PUB,0,JS 0021;REL 0021,01;01,"HUTAFF,MARGARET;HUTAFF,MARGARET",25;25,0;0,9780060786847
BIRKETT,EBK PHYSIOLOGY OF BEHAVIOR,12,AC YUZU,MICROSOFT,PSY 0103,01,"MICZEK,KLAUS A",30,0,2813027001343
BIRKETT,EBK PHYSIOLOGY OF BEHAVIOR,12,AC YUZU,MICROSOFT,PSY 0103,01,"MICZEK,KLAUS A",30,0,2813026938121
BISSONNETTE,EBK GENERAL CHEMISTRY,11,AC YUZU,MICROSOFT,CHEM 0011,01,"PAMUK TURNER,DIREN",75,0,2813029039672
BISSONNETTE,EBK GENERAL CHEMISTRY,11,AC YUZU,MICROSOFT,CHEM 0011,01,"PAMUK TURNER,DIREN",75,0,2813029121803
BLOOM,REPUBLIC OF PLATO,(REV)16,HACHETTE B,0,PS 0004,01,"EVRIGENIS,IOANNIS",20,0,9780465094080
BOSE,MODERN SOUTH ASIA,4TH 18,TAYLOR,ROUTLEDGE,HIST 0046,10,"JALAL,AYESHA",35,0,9781138243682
BOSE,"NATIONALISM,DEMOCRACY+DEVELOPMENT",97,OXF,OXF,HIST 0046,10,"JALAL,AYESHA",35,0,9780195644425
BRATT,RIGHT TO HOUSING,06,UCP,TEMPLE U,UEP 0113;UEP 0213,01;01,"GREENSTEIN,ROSALIND;GREENSTEIN,ROSALIND",5;20,0;0,9781592134328
BRIGGS,CALCULUS:EARLY TRANS.-MYLABMATH ACCESS,3RD 19,PEARSON,PEARSON,MATH 0032;MATH 0032;MATH 0032;MATH 0032;MATH 0034;MATH 0034;MATH 0034;MATH 0034;MATH 0042;MATH 0042;MATH 0042,01;02;03;04;01;02;03;04;01;02;03,"KAUFMANN,GAIL F;MCNINCH,GEORGE;CHOU,MICHAEL Y.;STAFF;HU,XIAOZHE;HASSELBLATT,BORIS;KAUFMANN,GAIL F;MONTEIRO,NARIEL R.;ADLER,JAMES;GONZALEZ,FULTON B;FAUBION,ZACHARY",90;90;90;90;90;87;90;34;90;90;80,0;0;0;0;0;0;0;0;0;0;0,9780134856926
BRIGGS,CALCULUS:EARLY TRANSCEND.(LL)-W/ACCESS,3RD 19,PEARSON,PEARSON,MATH 0032;MATH 0032;MATH 0032;MATH 0032;MATH 0034;MATH 0034;MATH 0034;MATH 0034;MATH 0042;MATH 0042;MATH 0042,01;02;03;04;01;02;03;04;01;02;03,"KAUFMANN,GAIL F;MCNINCH,GEORGE;CHOU,MICHAEL Y.;STAFF;HU,XIAOZHE;HASSELBLATT,BORIS;KAUFMANN,GAIL F;MONTEIRO,NARIEL R.;ADLER,JAMES;GONZALEZ,FULTON B;FAUBION,ZACHARY",90;90;90;90;90;87;90;34;90;90;80,0;0;0;0;0;0;0;0;0;0;0,9780134996684
BRIGGS,CALCULUS:EARLY TRANSCEND.-STUD.SOLN.MAN,3RD 19,PEARSON,A-W,MATH 0032;MATH 0032;MATH 0032;MATH 0032;MATH 0034;MATH 0034;MATH 0034;MATH 0034;MATH 0042;MATH 0042;MATH 0042,01;02;03;04;01;02;03;04;01;02;03,"KAUFMANN,GAIL F;MCNINCH,GEORGE;CHOU,MICHAEL Y.;STAFF;HU,XIAOZHE;HASSELBLATT,BORIS;KAUFMANN,GAIL F;MONTEIRO,NARIEL R.;ADLER,JAMES;GONZALEZ,FULTON B;FAUBION,ZACHARY",90;90;90;90;90;87;90;34;90;90;80,0;0;0;0;0;0;0;0;0;0;0,9780134770482
BRINGUIER,CONVERSATIONS W/JEAN PIAGET,80,UCP,UCP,CSHD 0151,01,"FELDMAN,DAVID H",20,0,9780226075051
BROWN,CHEMISTRY:CENT.SCI.-SOLN.TO RED EXER.,14TH 18,PEARSON,0,CHEM 0001;CHEM 0001;CHEM 0002;CHEM 0002,01;02;01;02,"KRYATOV,SERGIY;KRYATOV,SERGIY;CAMPBELL,VICTORIA L;DAVIS,LUKE M",200;200;200;150,0;0;0;0,9780134552231
BROWN,CHEMISTRY:CENTRAL SCI.(LL)-W/MASTERING.,14TH 18,PEARSON,PEARSON,CHEM 0001;CHEM 0001,01;02,"KRYATOV,SERGIY;KRYATOV,SERGIY",200;200,0;0,9780134557328
BROWN,CHEMISTRY:CENTRAL SCI.-MASTERING.W/ETXT,14TH 18,PEARSON,PEARSON,CHEM 0001;CHEM 0001,01;02,"KRYATOV,SERGIY;KRYATOV,SERGIY",200;200,0;0,9780134553108
BROWN,CHEMISTRY:CENTRAL SCI.-W/MASTERINGCHEM.,14TH 18,PEARSON,PEARSON,CHEM 0001;CHEM 0001,01;02,"KRYATOV,SERGIY;KRYATOV,SERGIY",200;200,0;0,9780134292816
BROWN,PRIN.OF LANG.LEARNING+TEACHING,6TH 14,PEARSON,LONGMAN,ED 0114;GER 0114;LING 0114;ML 0114,01;01;01;01,"STOESSEL-DESCHNER,SA;STOESSEL-DESCHNER,SA;STOESSEL,SASKIA;STOESSEL,SASKIA",15;15;0;0,0;0;0;0,9780133041941
BRUSTAD,"AL-KITAAB...BEGIN.ARABIC,PT.1-W/DVD",3RD 11,HOPKINS F,GEORGETOWN,ARB 0001;ARB 0001;ARB 0001;ARB 0001;ARB 0001,A;B;C;D;E,"STAFF;ABDUL-AZIZ,RANA E.;STAFF;ABDUL-AZIZ,RANA E.;STAFF",15;15;15;15;15,0;0;0;0;0,9781589017368
BURKE,PHILOSOPHICAL ENQUIRY INTO SUBLIME...,98,PENG RAND,0,ENG 0191,02,"KEISER,JESS",15,0,9780140436259
BUSS,EVOLUTIONARY PSYCHOLOGY,6TH 19,TAYLOR,0,ANTH 0149;CSHD 0143,06;06,"POTT,MARTHA;POTT,MARTHA",25;25,0;0,9781138088610
CACIOLA,DISCERNING SPIRITS,03,LONGLEAF,CORNELL,HIST 0096,75,"MARRONE,STEVEN P",12,0,9780801473340
CACIOLA,EBK DISCERNING SPIRITS,0,AC YUZU,0,HIST 0096,75,"MARRONE,STEVEN P",12,0,2813030586585
CARLSON,PHYSIOLOGY OF BEHAVIOR,12TH 17,PEARSON,PEARSON,PSY 0103,01,"MICZEK,KLAUS A",30,0,9780134080918
CARSON,EBK SILENT SPRING,0,AC YUZU,MARINER BO,ENV 0001,01,"STEIN,NINIAN",80,0,2813035203913
CARSON,SILENT SPRING:ANNIVERSARY EDITION,(REV)02,HM,0,ENV 0001,01,"STEIN,NINIAN",80,0,9780618249060
CENGAGE,"CENGAGE UNLIMITED, 1 TERM -4 MONTHS, [I",1,AC IACCENGAGE,CENGAGE,EC 0003,01,"MCHUGH,CHRISTOPHER",80,0,2813036013894
CHARTERS,"STORY+ITS WRITER,2016 MLA UPDATE",9TH 15,OE MAC HIGHER,BEDFORD BK,ENG 0058,01,"BAMBER,LINDA V",20,0,9781319125189
CHAYAT,HEBREW FROM SCRATCH PART II,15,ISRAEL BK,0,HEB 0021;HEB 0121,01;01,"HARARI-SPENCER,HEDDA;HARARI-SPENCER,HEDDA",15;10,0;0,9789653501270
CHAYAT,"HEBREW FROM SCRATCH,PART 1",13,ISRAEL CON,ISRAEL CON,HEB 0001;HEB 0001;HEB 0003,A;B;A,"KIMELMAN,HAVA;KIMELMAN,HAVA;HARARI-SPENCER,HEDDA",15;15;15,0;0;0,9789653501126
CHIQUITO,HANDBOOK OF CONTEMP.SPANISH...-TEXT,12,OE VISTA HIGH,0,SPN 0121,A,"BERTE,MARIA JULIANA",12,0,9781617670978
CHOU,KALEIDOSCOPE OF CHINA,10,INGRAM PUB,PUP,CHNS 0121;CHNS 0121,A;B,"WAN,MIN;FENG,JIANPING",15;15,0;0,9780691146911
CLAYTON,PRIN.OF STELLAR EVOL.+NUCLEOSYNTHESIS,83,UCP,0,AST 0121,01,"MARCHESINI,DANILO",18,0,9780226109534
CLEVELAND,EBK A HISTORY OF THE MODERN MIDDLE EAST,6,AC YUZU,ROUTLEDGE,DHP D263,01,"FAWAZ,LEILA",0,0,2813032107870
CLEVELAND,EBK A HISTORY OF THE MODERN MIDDLE EAST,6,AC YUZU,ROUTLEDGE,DHP D263,01,"FAWAZ,LEILA",0,0,2813032085802
COETZEE,DISGRACE,99,PENG RAND,0,ENG 0129,01,"LURZ,JOHN",25,0,9780143115281
COHEN,"EBK THEATRE, BRIEF",12,AC YUZU,MCGRAW-HIL,DR 0007,01,"MONTEZ,NOE",25,0,2813036775013
COHEN,"EBK THEATRE, BRIEF",12,AC YUZU,MCGRAW-HIL,DR 0007,01,"MONTEZ,NOE",25,0,2813037062310
COHEN,"THEATRE,BRIEF",12TH 20,RENT MCG,RENT MCG,DR 0007,01,"MONTEZ,NOE",25,0,9781260057386
COLE,NO EQUAL JUSTICE,08,INGRAM PUB,NEW PRESS,SOC 0112,01,"GORDON,DAANIKA",35,0,9781565849471
COOK,ASSISTIVE TECHNOLOGIES,4TH 15,ELSEVIER,MOSBY,ENP 0105;OTS 0105,01;01,"BUXTON,JENNIFER;BUXTON,JENNIFER",24;24,0;0,9780323096317
CORRIGAN,SHORT GUIDE TO WRITING ABOUT FILM,9TH 15,PEARSON,PEARSON,CHNS 0081;FMS 0091;ILVS 0081,01;01;01,"ZHONG,XUEPING;ZHONG,XUEPING;ZHONG,XUEPING",30;30;30,0;0;0,9780321965240
COURTAD,INTRIGAS -TEXT,12,OP VISTA HIGH,VISTA HIGH,SPN 0021;SPN 0021;SPN 0021;SPN 0021;SPN 0021;SPN 0021;SPN 0021;SPN 0021;SPN 0021,A;B;C;D;E;F;G;H;J,"DE LAIRE MULGREW,ANN;DAVIS,MARIA-CONCEPCI;CANTU,ANNE;DAVIS,MARIA-CONCEPCI;CANTU,ANNE;MARCELIN,TERESA;CANTU,ANNE;MARCELIN,TERESA;LANZAS,EUGENIO",16;16;16;18;16;16;16;16;16,0;0;0;0;0;0;0;0;0,9781617671036
COURTAD,INTRIGAS -TEXT ONLY,2ND 17,VISTA HIGH,0,SPN 0021;SPN 0021;SPN 0021;SPN 0021;SPN 0021;SPN 0021;SPN 0021;SPN 0021;SPN 0021,A;B;C;D;E;F;G;H;J,"DE LAIRE MULGREW,ANN;DAVIS,MARIA-CONCEPCI;CANTU,ANNE;DAVIS,MARIA-CONCEPCI;CANTU,ANNE;MARCELIN,TERESA;CANTU,ANNE;MARCELIN,TERESA;LANZAS,EUGENIO",16;16;16;18;16;16;16;16;16,0;0;0;0;0;0;0;0;0,9781680043419
COWELL,ANDA VOL. 2-TUFTS ED.-W/ACCESS>CIB<,17,PEARSON C,0,SPN 0002;SPN 0002;SPN 0002;SPN 0002;SPN 0002;SPN 0002,A;B;C;D;E;F,"PAOLINI,ELENA;PAOLINI,ELENA;PAOLINI,ELENA;ROSSO-O'LAUGHLIN,MAR;SMITH,PATRICIA;SMITH,PATRICIA",16;16;16;16;16;16,0;0;0;0;0;0,9781323590201
COWELL,ANDA! CURSO...V.1(LL)-W/CODE >CUSTOM<,16,PEARSON C,0,SPN 0001;SPN 0001;SPN 0001;SPN 0001;SPN 0001;SPN 0001;SPN 0001;SPN 0001,A;B;C;CZ;D;E;F;G,"AKERS,JOANA;HALTOM,PAM;MALINOWSKA,MAGDALENA;HALTOM,PAM;MALINOWSKA,MAGDALENA;TANO,CHERYL ANNE;TANO,CHERYL ANNE;TANO,CHERYL ANNE",16;16;16;16;16;16;16;16,0;0;0;0;0;0;0;0,9781323508640
COX,EBK MOLECULAR BIOLOGY,2,AC YUZU,BEDFORD/ST,BIO 0105,01,"MCVEY,MITCH",65,0,2813028970266
COX,EBK MOLECULAR BIOLOGY,2,AC YUZU,BEDFORD/ST,BIO 0105,01,"MCVEY,MITCH",65,0,2813029137842
CPP,FIRO-B SELF SCORING TEST (#2216),CPP INC,0,0,ELS 0107,01,"STEPP,PAMELA",20,0,2818740161879
CROUCH,EBK PRINCIPLES OF INSTRUMENTAL ANALYSIS,7,AC YUZU,CENGAGE LE,CHEM 0141,01,"ROBBAT JR,ALBERT",30,0,2813028942126
CROUCH,EBK PRINCIPLES OF INSTRUMENTAL ANALYSIS,7,AC YUZU,CENGAGE LE,CHEM 0141,01,"ROBBAT JR,ALBERT",30,0,2813029107302
DANIELEWSKI,HOUSE OF LEAVES,00,PENG RAND,0,ENG 0191,02,"KEISER,JESS",15,0,9780375703768
DANTE,INFERNO (HOLLANDER),00,PENG RAND,ANCHOR,ENG 0108,01,"FYLER,JOHN M",25,0,9780385496988
DARLING,MOLECULAR MODEL KIT,11,DARLING M,0,CHEM 0051,01,"KRITZER,JOSHUA A.",225,0,9780964883734
DE LA FONTAINE,FABLES,07,MEP/SCHOEN,ADLER,FR 0146,A,"HAKIM,ZEINA",0,0,9782035834294
DEBARY,"SOURCES OF CHINESE TRADITION,V.1",2ND 99,INGRAM PUB,CUP,HIST 0040,10,"XU,MAN",45,0,9780231109390
DEERAUSO,LIEUTENANT NUN,96,PENG RAND,0,HIST 0155;WGSS 0185,80;07,"RANKIN,ALISHA;RANKIN,ALISHA",20;20,0;0,9780807070734
DEGRAUWE,ECONOMICS OF MONETARY UNION,12TH 19,OXF,OXF,EC 0162,02,"BETHUNE,BRIAN",35,0,9780198805229
DERSHOWITZ,MUELLER REPORT,19,INGRAM,0,SOC 0121,01,"WEINBERG,JILL D.",35,0,9781510750166
DETOCQUEVILLE,OLD REGIME+FRENCH REVOLUTION,55,PENG RAND,0,HIST 0159,82,"FOSTER,ELIZABETH",25,0,9780385092609
DING,EBK MODERN DIGITAL AND ANALOG COMMUNICA,5,AC YUZU,OXFORD UNI,EE 0107,01,"AULL,BRIAN",45,0,2813031460921
DIT),EBK LE MISANTHROPE,0,AC YUZU,B&N HACHET,FR 0031,C,"NAGINSKI,ISABELLE H",18,0,2813028777544
DIT),EBK TARTUFFE,0,AC YUZU,B&N HACHET,FR 0031;FR 0146,D;A,"HAKIM,ZEINA;HAKIM,ZEINA",18;0,0;0,2813028777506
DIXON,PROCESS OF SOCIAL RESEARCH,2ND 19,OXF,OXF,CH 0030,01,"TENDULKAR,SHALINI",35,0,9780190876654
DIYANNI,ONE HUNDRED GREAT ESSAYS,5TH 13,PEARSON,PEARSON,ENG 0001;ENG 0001,27;33,"STIFFLER,RANDALL;STIFFLER,RANDALL",15;15,0;0,9780134053387
DORFMAN,EBK NUMERICAL METHODS WITH CHEMICAL ENG,0,AC YUZU,CAMBRIDGE,CHBE 0039,01,"TZANAKAKIS,EMMANOUHL",35,0,2813028964630
DORFMAN,NUMERICAL METHODS W/CHEM.ENGINEERING...,17,CAMB,CAMB,CHBE 0039,01,"TZANAKAKIS,EMMANOUHL",35,0,9781107135116
DORNBUSCH,EBK MACROECONOMICS,13,AC YUZU,MCGRAW-HIL,EC 0012;EC 0012;EC 0012,03;04;05,"FUSILLO,MICHAEL;FUSILLO,MICHAEL;FUSILLO,MICHAEL",25;25;25,0;0;0,2813036438154
DORNBUSCH,EBK MACROECONOMICS,13,AC YUZU,MCGRAW-HIL,EC 0012;EC 0012;EC 0012,03;04;05,"FUSILLO,MICHAEL;FUSILLO,MICHAEL;FUSILLO,MICHAEL",25;25;25,0;0;0,2813036412291
DRAKE,CHARLES AUSTIN BEARD,18,LONGLEAF,0,HIST 0173,98,"EKBLADH,DAVID",10,0,9781501715167
EMECHETA,EBK THE JOYS OF MOTHERHOOD: A NOVEL,2,AC YUZU,W. W. NORT,AFR 0014;HIST 0014,01;01,"CONZ,CHRISTOPHER;CONZ,CHRISTOPHER",40;40,0;0,2813030474851
EMECHETA,JOYS OF MOTHERHOOD,2ND 14,NORTON,BRAZILLER,AFR 0014;HIST 0014,01;01,"CONZ,CHRISTOPHER;CONZ,CHRISTOPHER",40;40,0;0,9780807616239
FAULKNER,THREE FAMOUS SHORT NOVELS,11,PENG RAND,VINTAGE,AMER 0053;ENG 0063,01;01,"JOHNSON,RONNA;JOHNSON,RONNA C",0;40,0;0,9780307946751
FAZIO,DEVELOPING OCCUPATION-CENTERED PROG...,3RD 17,SLACK,SLACK,OTS 0232,01,"SKEELS,SARAH EVERHAR",52,0,9781630912598
FEDER,EBK THE PAST IN PERSPECTIVE,7,AC YUZU,OXFORD UNI,ANTH 0050;ARCH 0030,01;01,"SULLIVAN,LAUREN A.;SULLIVAN,LAUREN A.",60;60,0;0,2813028413756
FEDER,PAST IN PERSPECTIVE,7TH 17,OXF,OXF,ANTH 0050;ARCH 0030,01;01,"SULLIVAN,LAUREN A.;SULLIVAN,LAUREN A.",60;60,0;0,9780190275853
FEENSTRA,EBK INTERNATIONAL MACROECONOMICS,4,AC YUZU,BEDFORD/ST,EC 0162,01,"KIMELMAN,NANCY",35,0,2813029053340
FEENSTRA,EBK INTERNATIONAL MACROECONOMICS,4,AC YUZU,BEDFORD/ST,EC 0162,01,"KIMELMAN,NANCY",35,0,2813029137279
FEENSTRA,EBK LOOSE-LEAF VERSION FOR INTERNATIONA,4,AC YUZU,BEDFORD/ST,EC 0161,01,"BROWN,DRUSILLA",35,0,2813029196184
FEENSTRA,EBK LOOSE-LEAF VERSION FOR INTERNATIONA,4,AC YUZU,BEDFORD/ST,EC 0161,01,"BROWN,DRUSILLA",35,0,2813029272604
FEENSTRA,INTERNATIONAL MACROECONOMICS,4TH 17,MAC HIGHER,0,EC 0162,01,"KIMELMAN,NANCY",35,0,9781319061722
FELD,VENTURE DEALS,3RD 16,WILEY,WILEY,EC 0157,01,"MANOS,CHRISTOPHER",25,0,9781119259756
FERNANDEZ,EBK FROM AFRO-CUBAN RHYTHMS TO LATIN JA,1,AC YUZU,UNIVERSITY,MUS 0105,01,"SMITH,JOEL LARUE",12,0,2813022416777
