Course Code,Course Name,Course Instructor,Parsed Course Name
2198-83972,Fa19-DEGR-140403-1-Advanced Implant Prosth,"Kang, Ki Ho",Advanced Implant Prosth
2198-83973,Fa19-DEGR-141504-1-Adv. Prosthodontic Seminars II,"Kang, Ki Ho",Adv. Prosthodontic Seminars II
2198-83974,Fa19-DEGR-141375-1-Intro Clinical Pros,"Kang, Ki Ho",Intro Clinical Pros
2198-83975,Fa19-DEGR-141386-1-Advanced Pros Clinic III,,Advanced Pros Clinic III
2198-83976,Fa19-DEGR-141388-1-Advanced Pros Clinic V,,Advanced Pros Clinic V
2198-83977,Fa19-DEGR-140419-1-Esthetic and Prosth I,,Esthetic and Prosth I
2198-83978,Fa19-DEGR-140428-1-ABP Board Examination Prep I,,ABP Board Examination Prep I
2198-83979,Fa19-DEGR-140429-1-Adv. Pros Treat. Plan IIIA,,Adv. Pros Treat. Plan IIIA
2198-83980,Fa19-DEGR-141363-1-Head & Neck for Prosthodontics,"Kang, Ki Ho",Head & Neck for Prosthodontics
2198-83981,Fa19-DEGR-140423-1-Adv Prosth Treat Planning IIA,"Kang, Ki Ho",Adv Prosth Treat Planning IIA
2198-83982,Fa19-DEGR-141382-1-Adv. Removable Pros,"Kang, Ki Ho",Adv. Removable Pros
2198-83983,Fa19-DEGR-140397-1-Osseointegration,"Kang, Ki Ho",Osseointegration
2198-83984,Fa19-DEGR-141383-1-Adv. Clinical Prosthodontics I,"Kang, Ki Ho",Adv. Clinical Prosthodontics I
2198-83985,Fa19-DEGR-140402-1-Practice Management Prosth A,"Kang, Ki Ho",Practice Management Prosth A
2198-83986,Fa19-DEGR-140405-1-Prosth treatment planning IA,"Kang, Ki Ho",Prosth treatment planning IA
2198-83987,Fa19-DEGR-140407-1-Advanced Prosth Seminar I,"Kang, Ki Ho",Advanced Prosth Seminar I
2198-83988,Fa19-DEGR-140225-1-Clinical Ortho Practice IIA,,Clinical Ortho Practice IIA
2198-83989,"Fa19-DEGR-140353-1-Practice Mgmt, Risk Mgmt IIA",,"Practice Mgmt, Risk Mgmt IIA"
2198-83990,Fa19-DEGR-103063-1-Advanced Biostats,"Pagni, Sarah",Advanced Biostats
2198-83991,Fa19-DEGR-140805-1-MS Research II,"Alghanem, Tofool",MS Research II
2198-83992,Fa19-DEGR-140806-1-MS Research III,"Alghanem, Tofool",MS Research III
2198-83993,Fa19-DEGR-141364-1-Intro to Implant Dentistry I,,Intro to Implant Dentistry I
2198-83994,Fa19-DEGR-140194-1-Implant Treatment Planning I,,Implant Treatment Planning I
2198-83995,Fa19-DEGR-140195-1-Current Literature Review I,,Current Literature Review I
2198-83996,Fa19-DEGR-140196-1-PG Pros/OMS/Implant Case I,,PG Pros/OMS/Implant Case I
2198-83997,Fa19-DEGR-140003-1-Oral & Maxillofacial Surgery,,Oral & Maxillofacial Surgery
2198-83998,Fa19-DEGR-140009-1-OMS/Ortho Treatment Planning,,OMS/Ortho Treatment Planning
2198-83999,Fa19-DEGR-140012-1-Resident Presentations,,Resident Presentations
2198-84000,Fa19-DEGR-140015-1-OMS/Implant treatment planning,,OMS/Implant treatment planning
2198-84001,Fa19-DEGR-140004-1-Oral & Maxillofacial Surgery,,Oral & Maxillofacial Surgery
2198-84002,Fa19-DEGR-140010-1-OMS/Ortho treatment planning,,OMS/Ortho treatment planning
2198-84003,Fa19-DEGR-140013-1-Resident Presentations,,Resident Presentations
2198-84004,Fa19-DEGR-140016-1-OMS/Implant treatment planning,,OMS/Implant treatment planning
2198-84005,Fa19-DEGR-140008-1-Clinico-Pathological Conf.,,Clinico-Pathological Conf.
2198-84006,Fa19-DEGR-140011-1-OMS/Ortho treatment planning,,OMS/Ortho treatment planning
2198-84007,Fa19-DEGR-140014-1-Resident Presentations,,Resident Presentations
2198-84008,Fa19-DEGR-141785-1-Topics in Orthodontics I,,Topics in Orthodontics I
2198-84009,Fa19-DEGR-141787-1-Topics in Orthodontics III,,Topics in Orthodontics III
2198-84010,Fa19-DEGR-102939-1-Pain Assess & Manage,,Pain Assess & Manage
2198-84011,Fa19-DEGR-142366-1-Intro Comprehensive Ortho,,Intro Comprehensive Ortho
2198-84012,Fa19-DEGR-140219-1-Orthodontic Biomechanics,,Orthodontic Biomechanics
2198-84013,Fa19-DEGR-140220-1-Contemporary Lit Review IA,"Akyalcin, Sercan",Contemporary Lit Review IA
2198-84014,Fa19-DEGR-140222-1-Cephalometric Analysis,,Cephalometric Analysis
2198-84015,Fa19-DEGR-140224-1-Clinical Ortho. Practice IA,"Akyalcin, Sercan",Clinical Ortho. Practice IA
2198-84016,Fa19-DEGR-140804-1-MS Research I,"Alghanem, Tofool",MS Research I
2198-84017,Fa19-DEGR-103113-1-Critical Eval - Scientific Lit,"Dragan, Irina",Critical Eval - Scientific Lit
2198-84018,Fa19-DEGR-140807-1-MS Research IV,"Alghanem, Tofool",MS Research IV
2198-84019,Fa19-DEGR-103217-1-Masters Degree Thesis Doc,,Masters Degree Thesis Doc
2198-84020,Fa19-DEGR-141154-1-MS Thesis Defense,,MS Thesis Defense
2198-84021,Fa19-DEGR-141438-1-Oral Medicine Seminars I,"Desai, Bhavik",Oral Medicine Seminars I
2198-84022,Fa19-DEGR-142410-1-Oral Medicine Seminars III,"Desai, Bhavik",Oral Medicine Seminars III
2198-84023,"Fa19-DEGR-140355-1-Practice Mgmt, Risk Mgmt IA",,"Practice Mgmt, Risk Mgmt IA"
2198-84024,Fa19-DEGR-141310-1-Dental Jurisprudence & Ethics,,Dental Jurisprudence & Ethics
2198-84025,Fa19-DEGR-140223-1-Craniofacial Anomalies,,Craniofacial Anomalies
2198-84026,Fa19-DEGR-140344-1-Diagnosis & Treatment Plan IIA,,Diagnosis & Treatment Plan IIA
2198-84027,Fa19-DEGR-140347-1-AJODO Literature Review IIA,,AJODO Literature Review IIA
2198-84028,Fa19-DEGR-140350-1-Biomechanics IIA,,Biomechanics IIA
2198-84029,Fa19-DEGR-140349-1-Orthodontic Biomaterials II,,Orthodontic Biomaterials II
2198-84030,Fa19-DEGR-140356-1-American Board of Ortho IA,,American Board of Ortho IA
2198-84031,Fa19-DEGR-140354-1-Oro-Pharyngeal Function,,Oro-Pharyngeal Function
2198-84032,Fa19-DEGR-142414-1-Clinical Management I,"Dhadwal, Shuchi",Clinical Management I
2198-84033,Fa19-DEGR-142419-1-Orofacial Pain Rotations II,,Orofacial Pain Rotations II
2198-84034,Fa19-DEGR-141651-1-Bone Biology for Orthodontists,,Bone Biology for Orthodontists
2198-84035,Fa19-DEGR-140348-1-Orthodontic Biomaterials I,,Orthodontic Biomaterials I
2198-84036,Fa19-DEGR-142412-1-Interdisiplinary Treat Plan,,Interdisiplinary Treat Plan
2198-84037,Fa19-DEGR-102823-1-Orthognathic Surgery,,Orthognathic Surgery
2198-84038,Fa19-DEGR-141736-1-Early Orthodontic Treatment,,Early Orthodontic Treatment
2198-84039,Fa19-DEGR-140343-1-Ortho Diagnosis & Treat PlanIA,,Ortho Diagnosis & Treat PlanIA
2198-84040,Fa19-DEGR-140346-1-AJODO Literature Review 1A,,AJODO Literature Review 1A
